role_id,permission_id,created_at
1,1,2026-02-19 10:00:00
1,2,2026-02-19 10:00:00
1,3,2026-02-19 10:00:00
1,4,2026-02-19 10:00:00
1,5,2026-02-19 10:00:00
1,6,2026-02-19 10:00:00
1,7,2026-02-19 10:00:00
1,8,2026-02-19 10:00:00
1,9,2026-02-19 10:00:00
1,10,2026-02-19 10:00:00
1,11,2026-02-19 10:00:00
1,12,2026-02-19 10:00:00
1,13,2026-02-19 10:00:00
1,14,2026-02-19 10:00:00
1,15,2026-02-19 10:00:00
1,16,2026-02-19 10:00:00
1,17,2026-02-19 10:00:00
1,18,2026-02-19 10:00:00
1,19,2026-02-19 10:00:00
1,20,2026-02-19 10:00:00
1,21,2026-02-19 10:00:00
1,22,2026-02-19 10:00:00
1,23,2026-02-19 10:00:00
3,1,2026-02-19 10:00:00
3,2,2026-02-19 10:00:00
3,8,2026-02-19 10:00:00
3,9,2026-02-19 10:00:00
3,12,2026-02-19 10:00:00
3,13,2026-02-19 10:00:00
3,6,2026-02-19 10:00:00
4,1,2026-02-19 10:00:00
4,2,2026-02-19 10:00:00
4,8,2026-02-19 10:00:00
4,9,2026-02-19 10:00:00
4,4,2026-02-19 10:00:00
4,5,2026-02-19 10:00:00
4,6,2026-02-19 10:00:00
4,7,2026-02-19 10:00:00
4,14,2026-02-19 10:00:00
4,15,2026-02-19 10:00:00
4,20,2026-02-19 10:00:00
4,21,2026-02-19 10:00:00
5,1,2026-02-19 10:00:00
5,2,2026-02-19 10:00:00
5,10,2026-02-19 10:00:00
5,11,2026-02-19 10:00:00
5,12,2026-02-19 10:00:00
5,16,2026-02-19 10:00:00
6,1,2026-02-19 10:00:00
6,2,2026-02-19 10:00:00
6,10,2026-02-19 10:00:00
6,8,2026-02-19 10:00:00
6,16,2026-02-19 10:00:00
7,1,2026-02-19 10:00:00
7,2,2026-02-19 10:00:00
7,3,2026-02-19 10:00:00
7,8,2026-02-19 10:00:00
7,10,2026-02-19 10:00:00
7,12,2026-02-19 10:00:00
7,16,2026-02-19 10:00:00
7,22,2026-02-19 10:00:00
8,1,2026-02-19 10:00:00
8,2,2026-02-19 10:00:00
8,20,2026-02-19 10:00:00
8,21,2026-02-19 10:00:00
8,8,2026-02-19 10:00:00
8,4,2026-02-19 10:00:00
