id,product_id,sku,variant_key,localized_label,display_order,is_active,base_price,strike_price,cost_price,weight_grams,barcode,low_stock_threshold,created_at,updated_at
13,13,KEYCHAIN-001,default,{},0,true,66.90,76.94,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
14,14,KEYCHAIN-003,default,{},0,true,67.00,77.05,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
15,15,KEYCHAIN-005,default,{},0,true,67.10,77.16,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
16,16,KEYCHAIN-007,default,{},0,true,67.20,77.28,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
17,17,KEYCHAIN-009,default,{},0,true,67.30,77.39,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
18,18,KEYCHAIN-011,default,{},0,true,67.40,77.51,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
19,19,KEYCHAIN-013,default,{},0,true,67.50,77.63,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
20,20,KEYCHAIN-015,default,{},0,true,67.60,77.74,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
21,21,WATCHES-009,default,{},0,true,51.50,59.22,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
22,22,WATCHES-011,default,{},0,true,51.40,59.11,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
23,23,WATCHES-013,default,{},0,true,51.30,58.99,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
24,24,WATCHES-015,default,{},0,true,51.20,58.88,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
25,25,WATCHES-017,default,{},0,true,51.10,58.77,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
26,26,WATCHES-019,default,{},0,true,51.00,58.65,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
27,27,BADGES-015,default,{},0,true,49.20,56.58,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
28,28,BADGES-017,default,{},0,true,49.30,56.69,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
29,29,BADGES-019,default,{},0,true,49.40,56.81,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
30,30,BADGES-021,default,{},0,true,49.50,56.92,,,,10,2026-02-17 16:04:52.480606,2026-02-17 16:04:52.480606
